Name,Latitude,Longitude,Altitude,Dist,AvgSpd,Description,Icon,IconScale,IconAltitude,IconHeading,	IconColor,	LineStringColor,HideNameUntilMouseOver
Place Robert-Desnosresized_imagerue Boy-Zelenski , 48.877437 , 2.368474 , 0 , 0 , 0 , NO.32<br/>Place Robert-Desnosresized_imagerue Boy-Zelenski<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place de la Fontaine-Timbaudresized_imageface au 44 rue Jean-Pierre-Timbaud , 48.866298 , 2.371796 , 0 , 0 , 0 , NO.33<br/>Place de la Fontaine-Timbaudresized_imageface au 44 rue Jean-Pierre-Timbaud<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
1 boulevard Richard-Lenoirresized_imagesur le terre-plein central , 48.854364 , 2.369415 , 0 , 0 , 0 , NO.34<br/>1 boulevard Richard-Lenoirresized_imagesur le terre-plein central<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
89-91 boulevard Richard-Lenoirresized_imagesur le terre-plein central , 48.862112 , 2.372103 , 0 , 0 , 0 , NO.35<br/>89-91 boulevard Richard-Lenoirresized_imagesur le terre-plein central<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Esplanade Roger-Linetresized_imageface au 94 rue Jean-Pierre-Timbaud , 48.8677797 , 2.3773892 , 0 , 0 , 0 , NO.36<br/>Esplanade Roger-Linetresized_imageface au 94 rue Jean-Pierre-Timbaud<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
143-149 rue de la Roquetteresized_imagedevant l'entrée du square de la Roquette , 48.859118 , 2.385315 , 0 , 0 , 0 , NO.37<br/>143-149 rue de la Roquetteresized_imagedevant l'entrée du square de la Roquette<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
197 boulevard Voltaireresized_imageangle avec la rue Léon-Frot , 48.853124 , 2.388258 , 0 , 0 , 0 , NO.38<br/>197 boulevard Voltaireresized_imageangle avec la rue Léon-Frot<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Avenue de Saint-Mandéresized_imagerue du Rendez-Vous , 48.8448378 , 2.4051177 , 0 , 0 , 0 , NO.39<br/>Avenue de Saint-Mandéresized_imagerue du Rendez-Vous<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
122 rue de Charentonresized_imageboulevard Diderotresized_imagerue Beccaria , 48.8462833 , 2.3793089 , 0 , 0 , 0 , NO.40<br/>122 rue de Charentonresized_imageboulevard Diderotresized_imagerue Beccaria<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue Descos (face mairie du 12e , 48.8410791 , 2.3878034 , 0 , 0 , 0 , NO.41<br/>Rue Descos (face mairie du 12e<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue de Montempoivreresized_imagerue de la Véga , 48.8399294 , 2.404597 , 0 , 0 , 0 , NO.42<br/>Rue de Montempoivreresized_imagerue de la Véga<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Moussa-et-Odette-Abadi , 48.8422395 , 2.3861184 , 0 , 0 , 0 , NO.43<br/>Place Moussa-et-Odette-Abadi<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Cours de Vincennes (face au boulevard de Picpus) , 48.8479197 , 2.3992555 , 0 , 0 , 0 , NO.44<br/>Cours de Vincennes (face au boulevard de Picpus)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place de la Commune-de-Paris , 48.827492 , 2.34873 , 0 , 0 , 0 , NO.45<br/>Place de la Commune-de-Paris<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Jean-Delay , 48.823319 , 2.354279 , 0 , 0 , 0 , NO.46<br/>Place Jean-Delay<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Esplanade Pierre-Vidal-Naquet , 48.829689 , 2.381362 , 0 , 0 , 0 , NO.47<br/>Esplanade Pierre-Vidal-Naquet<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
10 Rue des Frères-d'Astier-de-La-Vigerie , 48.824015 , 2.363061 , 0 , 0 , 0 , NO.48<br/>10 Rue des Frères-d'Astier-de-La-Vigerie<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
66 avenue d'Ivry , 48.824287 , 2.36385 , 0 , 0 , 0 , NO.49<br/>66 avenue d'Ivry<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
Rue Jean-Anouilh , 48.831648 , 2.378036 , 0 , 0 , 0 , NO.50<br/>Rue Jean-Anouilh<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
178 rue Jeanne-d'Arcresized_imagerue Duméril , 48.838061 , 2.357238 , 0 , 0 , 0 , NO.51<br/>178 rue Jeanne-d'Arcresized_imagerue Duméril<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Louis-Armstrong , 48.8363789 , 2.3595717 , 0 , 0 , 0 , NO.52<br/>Place Louis-Armstrong<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Paul-Verlaine , 48.828 , 2.352389 , 0 , 0 , 0 , NO.53<br/>Paul-Verlaine<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place de l'Abbé-Jean-Lebeuf , 48.836053 , 2.318912 , 0 , 0 , 0 , NO.54<br/>Place de l'Abbé-Jean-Lebeuf<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
39 rue d'Alésiaresized_imagerue Sarrette , 48.8276961 , 2.3323037 , 0 , 0 , 0 , NO.55<br/>39 rue d'Alésiaresized_imagerue Sarrette<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Gilbert-Perroy , 48.8319794 , 2.3254293 , 0 , 0 , 0 , NO.56<br/>Place Gilbert-Perroy<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Denfert-Rochereau , 48.83436 , 2.330846 , 0 , 0 , 0 , NO.57<br/>Place Denfert-Rochereau<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
75 rue Didot , 48.829731 , 2.3179488 , 0 , 0 , 0 , NO.58<br/>75 rue Didot<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
11 Boulevard Edgar-Quinet , 48.841027 , 2.324869 , 0 , 0 , 0 , NO.59<br/>11 Boulevard Edgar-Quinet<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
Place Jules-Hénaffe , 48.823801 , 2.331494 , 0 , 0 , 0 , NO.60<br/>Place Jules-Hénaffe<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
63 avenue René-Coty , 48.8243977 , 2.3360819 , 0 , 0 , 0 , NO.61<br/>63 avenue René-Coty<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
115 rue de la Tombe-Issoireresized_imageentrée du réservoir de Montsouris , 48.824087 , 2.331263 , 0 , 0 , 0 , NO.62<br/>115 rue de la Tombe-Issoireresized_imageentrée du réservoir de Montsouris<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
31 rue Alain-Chartier , 48.8375362 , 2.2963597 , 0 , 0 , 0 , NO.63<br/>31 rue Alain-Chartier<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
35 rue Alain-Chartier , 48.8374741 , 2.296437 , 0 , 0 , 0 , NO.64<br/>35 rue Alain-Chartier<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Charles-Vallin , 48.8356667 , 2.3025546 , 0 , 0 , 0 , NO.65<br/>Place Charles-Vallin<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
19 place du Commerce , 48.8450063 , 2.2934495 , 0 , 0 , 0 , NO.66<br/>19 place du Commerce<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
19 Rue des Frères-Morane , 48.841564 , 2.2914435 , 0 , 0 , 0 , NO.67<br/>19 Rue des Frères-Morane<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
4 Place du Général-Beuret , 48.8418578 , 2.3031404 , 0 , 0 , 0 , NO.68<br/>4 Place du Général-Beuret<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Place Henri-Rollet , 48.8359176 , 2.2934497 , 0 , 0 , 0 , NO.69<br/>Place Henri-Rollet<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , false , 
Place Jacques-et-Thérèse-Tréfouëlresized_imageface au 35 boulevard Pasteur , 48.8428146 , 2.3128644 , 0 , 0 , 0 , NO.70<br/>Place Jacques-et-Thérèse-Tréfouëlresized_imageface au 35 boulevard Pasteur<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Rue des Morillons , 48.8321096 , 2.3027626 , 0 , 0 , 0 , NO.71<br/>Rue des Morillons<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
Square Pablo-Casals , 48.848733 , 2.285669 , 0 , 0 , 0 , NO.72<br/>Square Pablo-Casals<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
2 boulevard Pasteurresized_imagesous le viaduc de la ligne 6 , 48.8450099 , 2.3109341 , 0 , 0 , 0 , NO.73<br/>2 boulevard Pasteurresized_imagesous le viaduc de la ligne 6<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
28 rue Péclet (face mairie du 15e) , 48.8411351 , 2.2996815 , 0 , 0 , 0 , NO.74<br/>28 rue Péclet (face mairie du 15e)<br/>Altitude : 0 M<br>AvgSpd : 0.00 <br> , 196 , 0.3 , 0 , line-180 , yellow , aqua , true , 
